Timestamp,Voltage [uV]
2018/04/01 18:44:02 +0000,7367133
2018/04/01 18:48:02 +0000,7366800
2018/04/01 18:52:02 +0000,7386800
2018/04/01 18:56:01 +0000,7396800
2018/04/01 19:00:01 +0000,7406800
2018/04/01 19:04:01 +0000,7414800
2018/04/01 19:08:02 +0000,7424800
2018/04/01 19:12:02 +0000,7444800
2018/04/01 19:16:02 +0000,7454800
2018/04/01 19:20:02 +0000,7474800
2018/04/01 19:24:02 +0000,7494800
2018/04/01 19:28:02 +0000,7512800
2018/04/01 19:32:01 +0000,7532800
2018/04/01 19:36:01 +0000,7562800
2018/04/01 19:40:01 +0000,7590800
2018/04/01 19:44:02 +0000,7620800
2018/04/01 19:48:02 +0000,7650800
2018/04/01 19:52:02 +0000,7668800
2018/04/01 19:56:02 +0000,7698800
2018/04/01 20:00:02 +0000,7728800
2018/04/01 20:04:02 +0000,7756800
2018/04/01 20:08:01 +0000,7786800
2018/04/01 20:12:01 +0000,7816800
2018/04/01 20:16:01 +0000,7854800
2018/04/01 20:20:02 +0000,7884800
2018/04/01 20:24:02 +0000,7915133
2018/04/01 20:28:02 +0000,7952800
2018/04/01 20:32:02 +0000,7982800
2018/04/01 20:36:02 +0000,8020800
2018/04/01 20:40:03 +0000,8050800
2018/04/01 20:44:03 +0000,8090800
2018/04/01 20:48:03 +0000,8118800
2018/04/01 20:52:02 +0000,8158800
2018/04/01 20:56:03 +0000,8196800
2018/04/01 21:00:03 +0000,8236800
2018/04/01 21:04:02 +0000,8274800
2018/04/01 21:08:03 +0000,8314800
2018/04/01 21:12:05 +0000,8354800
2018/04/01 21:16:04 +0000,8362800
2018/04/01 21:20:05 +0000,8362800
2018/04/01 21:24:05 +0000,8362800
2018/04/01 21:28:05 +0000,8362800
2018/04/01 21:32:05 +0000,8362800
2018/04/01 21:36:04 +0000,8362800
2018/04/01 21:40:05 +0000,8362800
2018/04/01 21:44:04 +0000,8362800
2018/04/01 21:48:05 +0000,8362800
2018/04/01 21:52:05 +0000,8362800
2018/04/01 21:56:05 +0000,8362800
2018/04/01 22:00:05 +0000,8362800
2018/04/01 22:04:04 +0000,8362800
2018/04/01 22:08:05 +0000,8362800
2018/04/01 22:12:05 +0000,8362800
2018/04/01 22:16:05 +0000,8362800
2018/04/01 22:20:05 +0000,8362800
2018/04/01 22:24:05 +0000,8362800
2018/04/01 22:28:05 +0000,8362800
2018/04/01 22:32:05 +0000,8362800
2018/04/01 22:36:05 +0000,8362800
2018/04/01 22:40:05 +0000,8362800
2018/04/01 22:44:05 +0000,8362800
2018/04/01 22:48:05 +0000,8362800
2018/04/01 22:52:05 +0000,8362800
2018/04/01 22:56:04 +0000,8334800
2018/04/01 23:00:05 +0000,8324800
2018/04/01 23:04:04 +0000,8314800
2018/04/01 23:08:05 +0000,8304800
2018/04/01 23:12:05 +0000,8294800
2018/04/01 23:16:05 +0000,8284800
2018/04/01 23:20:05 +0000,8274800
2018/04/01 23:24:04 +0000,8266800
2018/04/01 23:28:05 +0000,8256800
2018/04/01 23:32:05 +0000,8246800
2018/04/01 23:36:05 +0000,8236800
2018/04/01 23:40:05 +0000,8236800
2018/04/01 23:44:05 +0000,8226800
2018/04/01 23:48:05 +0000,8216800
2018/04/01 23:52:05 +0000,8206800
2018/04/01 23:56:05 +0000,8196800
2018/04/02 00:00:04 +0000,8186800
2018/04/02 00:04:05 +0000,8178800
2018/04/02 00:08:04 +0000,8178800
2018/04/02 00:12:05 +0000,8168800
2018/04/02 00:16:05 +0000,8158800
2018/04/02 00:20:05 +0000,8148800
2018/04/02 00:24:05 +0000,8138800
2018/04/02 00:28:05 +0000,8128800
2018/04/02 00:32:05 +0000,8128800
2018/04/02 00:36:04 +0000,8118800
2018/04/02 00:40:05 +0000,8108800
2018/04/02 00:44:05 +0000,8100800
2018/04/02 00:48:05 +0000,8090800
2018/04/02 00:52:05 +0000,8080800
2018/04/02 00:56:05 +0000,8080800
2018/04/02 01:00:05 +0000,8070800
2018/04/02 01:04:05 +0000,8060800
2018/04/02 01:08:05 +0000,8050800
2018/04/02 01:12:05 +0000,8040800
2018/04/02 01:16:05 +0000,8031133
2018/04/02 01:20:05 +0000,8030800
2018/04/02 01:24:05 +0000,8020800
2018/04/02 01:28:04 +0000,8012800
2018/04/02 01:32:05 +0000,8002800
2018/04/02 01:36:05 +0000,7992800
2018/04/02 01:40:05 +0000,7992800
2018/04/02 01:44:04 +0000,7982800
2018/04/02 01:48:05 +0000,7972800
2018/04/02 01:52:05 +0000,7962800
2018/04/02 01:56:05 +0000,7962800
2018/04/02 02:00:04 +0000,7952800
2018/04/02 02:04:05 +0000,7942800
2018/04/02 02:08:05 +0000,7932800
2018/04/02 02:12:05 +0000,8118800
2018/04/02 02:16:05 +0000,8158800
2018/04/02 02:20:05 +0000,8196800
2018/04/02 02:24:05 +0000,8236800
2018/04/02 02:28:05 +0000,8274800
2018/04/02 02:32:05 +0000,8324800
2018/04/02 02:36:04 +0000,8362800
2018/04/02 02:40:05 +0000,8362800
2018/04/02 02:44:04 +0000,8362800
2018/04/02 02:48:05 +0000,8362800
2018/04/02 02:52:05 +0000,8362800
2018/04/02 02:56:05 +0000,8362800
